date,annualpct
1/1/2018,0.0174
2/1/2018,0.0188
3/1/2018,0.0224
4/1/2018,0.0232
5/1/2018,0.02
6/1/2018,0.021
7/1/2018,0.0234
8/1/2018,0.0298
9/1/2018,0.0308
10/1/2018,0.0312
11/1/2018,0.0312
12/1/2018,0.0335
1/1/2019,0.0341
2/1/2019,0.0352
3/1/2019,0.0343
4/1/2019,0.0334
5/1/2019,0.0315
6/1/2019,0.0305
7/1/2019,0.0293
8/1/2019,0.028
9/1/2019,0.0269
10/1/2019,0.0257
11/1/2019,0.0252
12/1/2019,0.0245
1/1/2020,0.0259
2/1/2020,0.0271
3/1/2020,0.0246
4/1/2020,0.0114
5/1/2020,-0.0042
6/1/2020,-0.0171
7/1/2020,-0.0189
8/1/2020,-0.0172
9/1/2020,-0.0147
10/1/2020,-0.0132
11/1/2020,-0.0128
12/1/2020,-0.0133
1/1/2021,-0.0105
2/1/2021,-0.0074
3/1/2021,0.003
4/1/2021,0.0245
5/1/2021,0.0552
6/1/2021,0.0884
7/1/2021,0.115
8/1/2021,0.1409
9/1/2021,0.1638
10/1/2021,0.1767
11/1/2021,0.1815
12/1/2021,0.1812
1/1/2022,0.179
2/1/2022,0.1771
3/1/2022,0.171
4/1/2022,0.1649
5/1/2022,0.154
6/1/2022,0.1404
7/1/2022,0.1198
8/1/2022,0.0943
9/1/2022,0.0687
10/1/2022,0.0523
11/1/2022,0.0415
12/1/2022,0.036
1/1/2023,0.0298
2/1/2023,0.0264
3/1/2023,0.0231
4/1/2023,0.0169
5/1/2023,0.0087
6/1/2023,-0.0014
7/1/2023,-0.0085
8/1/2023,-0.0126
9/1/2023,-0.0136
10/1/2023,-0.0128
11/1/2023,-0.0108
