date,USA,Japan,China_HK,ASEAN,Europe,Others,
1/1/2016,2912.6054,390.9620,3235.8009,762.5613,1561.3976,467.3470, 
2/1/2016,2395.0283,347.2678,2362.0740,682.9060,1334.9176,445.8273, 
3/1/2016,2742.6420,413.4139,3401.4930,980.7371,1451.4449,588.3932, 
4/1/2016,2638.1937,433.2226,3076.0013,871.3181,1244.2427,463.4201, 
5/1/2016,2705.7634,447.5809,3182.3787,893.1977,1183.3991,483.8091, 
6/1/2016,2922.7564,464.4951,3343.3257,830.7486,1189.6844,525.6265, 
7/1/2016,2883.0857,526.3036,3351.4883,865.8847,1252.7226,464.4818, 
8/1/2016,3415.9482,568.0673,3683.0183,965.9098,1177.3015,634.1890, 
9/1/2016,3679.2553,576.9790,3629.9285,945.9375,2150.7653,612.4459, 
10/1/2016,3760.2212,528.6503,3458.1892,971.1987,2263.8994,471.0780, 
11/1/2016,3862.8894,535.8275,3665.1494,913.9445,2290.9377,484.3129, 
12/1/2016,3412.6317,513.0957,3549.5279,796.7238,1940.6439,470.2798, 
1/1/2017,2984.0839,510.7524,3066.2570,701.3549,1749.8390,450.7330, 
2/1/2017,2672.9906,507.6986,3021.5767,668.0476,1393.6068,468.1619, 
3/1/2017,3242.7895,545.7067,3906.3368,748.6693,1510.5468,761.1503, 
4/1/2017,2515.6332,500.8949,3381.7513,713.9422,1520.4470,453.0038, 
5/1/2017,2770.3471,513.2215,3400.9662,773.8619,1330.8218,502.8128, 
6/1/2017,3082.2623,575.3151,3933.8120,902.6339,1330.3412,570.3277, 
7/1/2017,2766.7131,598.7633,3560.4062,818.2410,1480.5765,512.9449, 
8/1/2017,3044.9973,607.0224,3908.5155,937.6936,1476.1680,578.4960, 
9/1/2017,3558.5646,607.2816,4140.4281,905.4263,1903.5768,613.8441, 
10/1/2017,3869.6982,573.3000,4006.5303,771.2665,2219.9324,533.4661, 
11/1/2017,3908.9902,555.5034,4133.8154,848.8174,2647.8398,551.0434, 
12/1/2017,3986.7517,480.6129,3935.1525,817.7220,2716.0747,713.3959, 
1/1/2018,3074.5658,526.8896,4123.1829,749.9800,1641.0722,533.4044, 
2/1/2018,2323.8060,453.8211,2943.9317,630.7317,1198.1043,427.7831, 
3/1/2018,3718.4905,537.5177,4322.0266,817.8554,1347.1844,568.8698, 
4/1/2018,3086.2576,464.1759,3979.7069,751.4342,1368.4610,533.9822, 
5/1/2018,2926.4368,478.0557,4425.4446,893.5374,1305.0263,568.7874, 
6/1/2018,2864.7812,522.9141,4218.8319,852.3148,1383.3758,529.3242, 
7/1/2018,3011.6040,531.2204,4216.7056,833.2980,1539.8335,572.9061, 
8/1/2018,3512.7068,560.4358,4591.2716,883.8651,1421.0088,592.9986, 
9/1/2018,3793.2877,536.3634,4498.1430,992.4400,2545.7590,555.7802, 
10/1/2018,4117.2168,603.6578,4256.0038,891.6234,2388.5138,478.8780, 
11/1/2018,4208.6391,520.7739,3857.3851,817.4050,2347.9974,449.9841, 
12/1/2018,4253.0920,534.2501,3605.8510,831.4908,1973.3858,435.8857, 
1/1/2019,2892.3632,483.0374,3936.2401,850.9292,1792.8951,478.9315, 
2/1/2019,2185.6487,429.6241,2592.0594,681.8435,1080.4331,358.5342, 
3/1/2019,3111.2823,467.9516,3634.5279,890.4933,1510.2474,447.3188, 
4/1/2019,2730.5044,433.7943,3725.6837,828.6782,1582.1537,416.4891, 
5/1/2019,2882.8510,466.9455,3980.1242,777.9688,1389.2398,433.2328, 
6/1/2019,3083.3130,489.2819,3678.1987,905.8730,1361.0006,411.0641, 
7/1/2019,2966.6810,512.4142,4104.2350,870.2011,1638.9456,472.1629, 
8/1/2019,3301.5310,565.7362,4326.3569,860.5160,1401.8720,478.2153, 
9/1/2019,3643.0786,561.5218,4647.8723,948.3859,2068.1523,502.4729, 
10/1/2019,3915.5791,516.1735,4461.7179,929.6030,2612.7610,511.6202, 
11/1/2019,3952.2676,518.6094,4307.5303,960.2568,2220.0181,510.6647, 
12/1/2019,3531.5524,520.9888,4280.7762,1003.6328,2325.7203,516.7943, 
1/1/2020,2903.2876,533.7953,3693.1106,906.8560,1807.7535,457.7325, 
2/1/2020,2567.9585,458.6257,3387.0340,881.1878,1034.0716,492.6199, 
3/1/2020,3663.7760,601.0014,4901.5635,1072.2758,1609.3182,604.7119, 
4/1/2020,2946.8452,528.1074,4455.3683,952.2407,1901.8471,507.3472, 
5/1/2020,3200.4318,544.3970,4373.2021,1060.7159,1630.1006,457.1266, 
6/1/2020,3880.5361,548.1291,4687.0945,1101.5864,1578.5896,508.5703, 
7/1/2020,3498.5122,524.5951,5537.5522,1038.8935,2078.8240,570.0749, 
8/1/2020,3752.8432,607.3330,6216.6876,1186.9268,1720.1968,538.1402, 
9/1/2020,4371.0309,648.4750,7334.4374,1234.5119,1864.8169,595.4682, 
10/1/2020,5115.1038,659.1134,5010.3495,1180.3008,2604.3761,639.9511, 
11/1/2020,5695.1266,688.4516,5633.2868,1298.3959,3248.2397,622.5419, 
12/1/2020,5367.3546,689.6448,8289.9992,1268.4418,3025.7820,646.9253, 
1/1/2021,4702.4763,688.4600,6846.4168,1255.7079,2817.7806,618.8146, 
2/1/2021,3948.0964,571.2353,5063.8335,1116.6526,2013.3912,729.4900, 
3/1/2021,4828.7430,710.5732,6305.1766,1352.7700,1944.1190,702.7257, 
4/1/2021,4508.4625,738.4138,7159.8872,1395.3488,2634.4163,673.9924, 
5/1/2021,4443.7751,765.6576,6432.8007,1400.9218,2051.3691,710.5236, 
6/1/2021,5338.4740,744.1483,6711.6949,1418.8686,1886.4733,692.3218, 
7/1/2021,4755.7248,798.3682,6411.7013,1407.8186,2157.8122,809.9828, 
8/1/2021,5047.9371,774.9054,6857.1770,1471.0527,1661.6315,694.9854, 
9/1/2021,6042.3238,774.5884,7704.8974,1478.8301,2807.7726,683.6632, 
10/1/2021,4939.9741,738.2532,6403.3707,1504.5913,2885.5092,743.0804, 
11/1/2021,6040.0478,770.6830,8058.0941,1541.5739,3057.5145,802.4684, 
12/1/2021,6426.5712,742.6295,8736.1758,1859.7985,3128.8004,756.4283, 
1/1/2022,5946.6627,751.1917,7947.9211,1586.4581,2297.2095,685.6951, 
2/1/2022,5257.0836,697.3991,6677.6931,1905.0239,2512.5790,639.7802, 
3/1/2022,6169.7315,751.3157,7989.9243,2605.7648,2505.9964,839.3344, 
4/1/2022,5489.4809,751.3231,6144.0806,2441.6787,2253.6351,760.1450, 
5/1/2022,5962.6961,732.6940,6085.1385,2578.8592,2427.4557,763.9431, 
6/1/2022,6224.6667,825.5007,5824.0177,2724.7908,2402.2514,749.5451, 
7/1/2022,6208.2460,829.1656,5335.4856,2530.1454,2151.9464,728.1553, 
8/1/2022,6847.5024,843.4147,5445.3717,3066.6605,2085.2179,755.9344, 
9/1/2022,7330.1076,963.5338,5798.3325,2476.3573,3362.0659,724.6864, 
10/1/2022,6283.8488,926.9260,5561.4184,2346.8751,3133.1293,606.6444, 
11/1/2022,6663.6572,883.7164,4956.8644,2052.8143,2050.2947,590.7497, 
12/1/2022,6357.1286,818.0629,5144.3634,1916.7617,2020.4401,867.1272, 
